ISIN;Date;PricePerShare			
ISIN115;2016-01-01;3.1675			
ISIN115;2016-01-04;3.2112			
ISIN115;2016-01-05;3.2076
ISIN115;2017-02-22;3.7788
ISIN115;2017-02-23;3.7783
ISIN115;2018-09-04;7.7263
ISIN115;2018-09-05;7.6785
ISIN115;2019-03-05;6.0893
ISIN115;2019-03-06;6.1386
ISIN115;2021-01-07;8.9814	
ISIN34;2016-06-28;102.5228			
ISIN34;2016-06-29;102.3942			
ISIN34;2016-06-30;102.3503	
ISIN34;2020-08-03;107.8759
ISIN34;2020-08-04;107.9613
ISIN34;2021-01-22;106.7499		
ISIN140;2016-01-04;33.99			
ISIN140;2016-01-05;33.83			
ISIN140;2016-01-06;33.08			
ISIN140;2021-01-22;56.66			
ISIN126;2016-01-01;1.4743
ISIN126;2016-01-04;1.4715
ISIN126;2017-03-15;1.2291
ISIN126;2017-03-17;1.2358
ISIN126;2018-05-14;1.3554
ISIN126;2018-05-15;1.3504
ISIN158;2016-01-01;80.916
ISIN158;2016-01-04;80.558
