ISIN;Date;PricePerShare
ISIN0;2016-01-04;17148.94
ISIN0;2016-01-05;17158.66
ISIN0;2016-01-06;16906.51
ISIN0;2016-01-07;16514.1
ISIN0;2016-01-08;16346.45
ISIN0;2016-01-11;16398.57
ISIN0;2016-01-12;16516.22
ISIN0;2016-01-13;16151.41
ISIN0;2016-01-14;16379.05
ISIN0;2016-01-15;15988.08
ISIN0;2016-01-19;16016.02
ISIN0;2016-01-20;15766.74
ISIN0;2016-01-21;15882.68
ISIN0;2016-01-22;16093.51
ISIN0;2016-01-25;15885.22
ISIN0;2016-01-26;16167.23
ISIN0;2016-01-27;15944.46
ISIN0;2016-01-28;16069.64
ISIN0;2016-01-29;16466.3
ISIN0;2016-02-01;16449.18
ISIN0;2016-02-02;16153.54
ISIN0;2016-02-03;16336.66
ISIN0;2016-02-04;16416.58
ISIN0;2016-02-05;16204.97
ISIN0;2016-02-08;16027.05
ISIN0;2016-02-09;16014.38
ISIN0;2016-02-10;15914.74
ISIN0;2016-02-11;15660.18
ISIN0;2016-02-12;15973.84
ISIN0;2016-02-16;16196.41
ISIN0;2016-02-17;16453.83
ISIN0;2016-02-18;16413.43
ISIN0;2016-02-19;16391.99
ISIN0;2016-02-22;16620.66
ISIN0;2016-02-23;16431.78
ISIN0;2016-02-24;16484.99
ISIN0;2016-02-25;16697.29
ISIN0;2016-02-26;16639.97
ISIN0;2016-02-29;16516.5
ISIN0;2016-03-01;16865.08
ISIN0;2016-03-02;16899.32
ISIN0;2016-03-03;16943.9
ISIN0;2016-03-04;17006.77
ISIN0;2016-03-07;17073.95
ISIN0;2016-03-08;16964.1
ISIN0;2016-03-09;17000.36
ISIN0;2016-03-10;16995.13
ISIN0;2016-03-11;17213.31
ISIN0;2016-03-14;17229.13
ISIN0;2016-03-15;17251.53
ISIN0;2016-03-16;17325.76
ISIN0;2016-03-17;17481.49
ISIN0;2016-03-18;17602.3
ISIN0;2016-03-21;17623.87
ISIN0;2016-03-22;17582.57
ISIN0;2016-03-23;17502.59
ISIN0;2016-03-24;17515.73
ISIN0;2016-03-28;17535.39
ISIN0;2016-03-29;17633.11
ISIN0;2016-03-30;17716.66
ISIN0;2016-03-31;17685.09
ISIN0;2016-04-01;17792.75
ISIN0;2016-04-04;17737.0
ISIN0;2016-04-05;17603.32
ISIN0;2016-04-06;17716.05
ISIN0;2016-04-07;17541.96
ISIN0;2016-04-08;17576.96
ISIN0;2016-04-11;17556.41
ISIN0;2016-04-12;17721.25
ISIN0;2016-04-13;17908.28
ISIN0;2016-04-14;17926.43
ISIN0;2016-04-15;17897.46
ISIN0;2016-04-18;18004.16
ISIN0;2016-04-19;18053.6
ISIN0;2016-04-20;18096.27
ISIN0;2016-04-21;17982.52
ISIN0;2016-04-22;18003.75
ISIN0;2016-04-25;17977.24
ISIN0;2016-04-26;17990.32
ISIN0;2016-04-27;18041.55
ISIN0;2016-04-28;17830.76
ISIN0;2016-04-29;17773.64
ISIN0;2016-05-02;17891.16
ISIN0;2016-05-03;17750.91
ISIN0;2016-05-04;17651.26
ISIN0;2016-05-05;17660.71
ISIN0;2016-05-06;17740.63
ISIN0;2016-05-09;17705.91
ISIN0;2016-05-10;17928.35
ISIN0;2016-05-11;17711.12
ISIN0;2016-05-12;17720.5
ISIN0;2016-05-13;17535.32
ISIN0;2016-05-16;17710.71
ISIN0;2016-05-17;17529.98
ISIN0;2016-05-18;17526.62
ISIN0;2016-05-19;17435.4
ISIN0;2016-05-20;17500.94
ISIN0;2016-05-23;17492.93
ISIN0;2016-05-24;17706.05
ISIN0;2016-05-25;17851.51
ISIN0;2016-05-26;17828.29
ISIN0;2016-05-27;17873.22
ISIN0;2016-05-31;17787.2
ISIN0;2016-06-01;17789.67
ISIN0;2016-06-02;17838.56
ISIN0;2016-06-03;17807.06
ISIN0;2016-06-06;17920.33
ISIN0;2016-06-07;17938.28
ISIN0;2016-06-08;18005.05
ISIN0;2016-06-09;17985.19
ISIN0;2016-06-10;17865.34
ISIN0;2016-06-13;17732.48
ISIN0;2016-06-14;17674.82
ISIN0;2016-06-15;17640.17
ISIN0;2016-06-16;17733.1
ISIN0;2016-06-17;17675.16
ISIN0;2016-06-20;17804.87
ISIN0;2016-06-21;17829.73
ISIN0;2016-06-22;17780.83
ISIN0;2016-06-23;18011.07
ISIN0;2016-06-24;17400.75
ISIN0;2016-06-27;17140.24
ISIN0;2016-06-28;17409.72
ISIN0;2016-06-29;17694.68
ISIN0;2016-06-30;17929.99
ISIN0;2016-07-01;17949.37
ISIN0;2016-07-05;17840.62
ISIN0;2016-07-06;17918.62
ISIN0;2016-07-07;17895.88
ISIN0;2016-07-08;18146.74
ISIN0;2016-07-11;18226.93
ISIN0;2016-07-12;18347.67
ISIN0;2016-07-13;18372.12
ISIN0;2016-07-14;18506.41
ISIN0;2016-07-15;18516.55
ISIN0;2016-07-18;18533.05
ISIN0;2016-07-19;18559.01
ISIN0;2016-07-20;18595.03
ISIN0;2016-07-21;18517.23
ISIN0;2016-07-22;18570.85
ISIN0;2016-07-25;18493.06
ISIN0;2016-07-26;18473.75
ISIN0;2016-07-27;18472.17
ISIN0;2016-07-28;18456.35
ISIN0;2016-07-29;18432.24
ISIN0;2016-08-01;18404.51
ISIN0;2016-08-02;18313.77
ISIN0;2016-08-03;18355.0
ISIN0;2016-08-04;18352.05
ISIN0;2016-08-05;18543.53
ISIN0;2016-08-08;18529.29
ISIN0;2016-08-09;18533.05
ISIN0;2016-08-10;18495.66
ISIN0;2016-08-11;18613.52
ISIN0;2016-08-12;18576.47
ISIN0;2016-08-15;18636.05
ISIN0;2016-08-16;18552.02
ISIN0;2016-08-17;18573.94
ISIN0;2016-08-18;18597.7
ISIN0;2016-08-19;18552.57
ISIN0;2016-08-22;18529.42
ISIN0;2016-08-23;18547.3
ISIN0;2016-08-24;18481.48
ISIN0;2016-08-25;18448.41
ISIN0;2016-08-26;18395.4
ISIN0;2016-08-29;18502.99
ISIN0;2016-08-30;18454.3
ISIN0;2016-08-31;18400.88
ISIN0;2016-09-01;18419.3
ISIN0;2016-09-02;18491.96
ISIN0;2016-09-06;18538.12
ISIN0;2016-09-07;18526.14
ISIN0;2016-09-08;18479.91
ISIN0;2016-09-09;18085.45
ISIN0;2016-09-12;18325.07
ISIN0;2016-09-13;18066.75
ISIN0;2016-09-14;18034.77
ISIN0;2016-09-15;18212.48
ISIN0;2016-09-16;18123.8
ISIN0;2016-09-19;18120.17
ISIN0;2016-09-20;18129.96
ISIN0;2016-09-21;18293.7
ISIN0;2016-09-22;18392.46
ISIN0;2016-09-23;18261.45
ISIN0;2016-09-26;18094.83
ISIN0;2016-09-27;18228.3
ISIN0;2016-09-28;18339.24
ISIN0;2016-09-29;18143.45
ISIN0;2016-09-30;18308.15
ISIN0;2016-10-03;18253.85
ISIN0;2016-10-04;18168.45
ISIN0;2016-10-05;18281.03
ISIN0;2016-10-06;18268.5
ISIN0;2016-10-07;18240.49
ISIN0;2016-10-10;18329.04
ISIN0;2016-10-11;18128.66
ISIN0;2016-10-12;18144.2
ISIN0;2016-10-13;18098.94
ISIN0;2016-10-14;18138.38
ISIN0;2016-10-17;18086.4
ISIN0;2016-10-18;18161.94
ISIN0;2016-10-19;18202.62
ISIN0;2016-10-20;18162.35
ISIN0;2016-10-21;18145.71
ISIN0;2016-10-24;18223.03
ISIN0;2016-10-25;18169.27
ISIN0;2016-10-26;18199.33
ISIN0;2016-10-27;18169.68
ISIN0;2016-10-28;18161.19
ISIN0;2016-10-31;18142.42
ISIN0;2016-11-01;18037.1
ISIN0;2016-11-02;17959.64
ISIN0;2016-11-03;17930.67
ISIN0;2016-11-04;17888.28
ISIN0;2016-11-07;18259.6
ISIN0;2016-11-08;18332.74
ISIN0;2016-11-09;18589.69
ISIN0;2016-11-10;18807.88
ISIN0;2016-11-11;18847.66
ISIN0;2016-11-14;18868.69
ISIN0;2016-11-15;18923.06
ISIN0;2016-11-16;18868.14
ISIN0;2016-11-17;18903.82
ISIN0;2016-11-18;18867.93
ISIN0;2016-11-21;18956.69
ISIN0;2016-11-22;19023.87
ISIN0;2016-11-23;19083.18
ISIN0;2016-11-25;19152.14
ISIN0;2016-11-28;19097.9
ISIN0;2016-11-29;19121.6
ISIN0;2016-11-30;19123.58
ISIN0;2016-12-01;19191.93
ISIN0;2016-12-02;19170.42
ISIN0;2016-12-05;19216.24
ISIN0;2016-12-06;19251.78
ISIN0;2016-12-07;19549.62
ISIN0;2016-12-08;19614.81
ISIN0;2016-12-09;19756.85
ISIN0;2016-12-12;19796.43
